user_id,name,signup_date,purchase_amount,country
b0c9b483-1561-4e59-9943-35cb11b2fc4d,Victor Bowen,2020-10-04,130.73,Monaco
b6b160ed-1d01-4b9e-af0a-af18e46db337,Diana Paul,2020-02-21,108.57,Finland
718e4662-eb52-4e65-91c3-0d1eea38fe51,John Parks,2025-05-14,422.94,Rwanda
f2942947-d22c-47ee-b14a-16edc3b33417,Christopher Williams,2021-06-22,349.63,Cayman Islands
1af304c0-3b26-4a44-8acc-77d3a64b16c9,Michael Andrade,2024-03-24,24.92,Cameroon
13ed1bb2-1ab8-4993-9f9d-d528054618a9,Rachel Beard,2022-05-23,332.56,Northern Mariana Islands
22d6cec5-733d-4b0e-a14f-e7a0a84bf7ca,Angela Hernandez,2024-06-17,82.29,Italy
99d10a26-438c-4ad2-b786-1449ad5f91ff,Melissa Clark,2023-09-01,301.11,United Kingdom
b8741443-a9eb-4549-968f-135748e45c2c,Alexandria Adams,2025-08-18,411.6,Monaco
10dcac10-25c0-475d-ab5a-abefa7e1465b,Tracy Fletcher,2021-03-18,364.16,Samoa
c9674933-6e22-474f-80b9-ebecf1edc30a,Eric Stark,2022-05-31,24.77,Paraguay
62c9927e-a61f-4e49-be19-2d7eb93cc81f,Mark Costa,2021-01-25,321.06,Germany
9a22f610-fad0-4b34-9e24-5099afe68d20,Andrea Moore,2022-10-02,121.13,Anguilla
dafecee0-5e23-4087-b446-ae443ac57611,Carlos White,2024-02-06,352.24,Uganda
6c5b6521-a3a2-41b1-8401-d930d585d01f,Rebecca Moore,2025-01-07,192.98,Madagascar
518ad9b4-d971-4ba4-af05-5311cd39933a,Paul Mcgee,2021-11-27,156.17,Marshall Islands
16e17798-118a-4270-afe6-791490e52eaa,Emily Jarvis,2023-11-30,205.1,Philippines
fc103b88-e114-46bd-85f2-8f0fe8bb5acf,Robert Keith,2025-03-05,312.09,Singapore
84b2bb21-a137-44c6-beae-626d34c4dde0,Jermaine Young,2020-01-06,348.69,Greece
cf05e4a9-7a6b-48df-9d56-ba300f824445,Dustin Carter,2021-10-13,429.15,Mexico
c87ae2c2-bc68-45ea-8205-341a86cf3159,Emily Nichols,2021-09-08,217.55,Guadeloupe
c7c7c8b6-9d30-4648-931a-4f924ead31dc,Gregory Little,2022-03-24,150.15,Vanuatu
fe49985c-c138-43ff-b5e8-fcd5efc327b1,Carlos Grimes,2022-08-22,481.05,Samoa
9af8c7cc-76ff-47fd-a71e-a971606da4e6,Carol Aguilar,2022-02-23,346.89,Japan
4c7f230b-be39-4c38-b3ed-802e5052457b,Katherine Hernandez,2020-09-14,32.7,Nigeria
7b5d69f9-6a8e-437c-91c3-418545432984,Jonathan Rivera,2020-06-17,13.26,Guatemala
300ebb6d-e4f8-47c9-ba4b-6e5c856c9e98,William Moore,2024-04-14,260.24,Denmark
e46ecea0-1844-4ca4-8db8-e0267f8bd397,Susan Hill,2021-04-17,221.12,Reunion
f040b82f-db5e-4625-8229-d8ba4660c2ac,John Rivera,2025-01-22,59.01,Morocco
c9f172de-b1b9-4f97-bda9-822b33767285,April Lopez,2023-04-14,102.42,Tokelau
275c5c38-d631-4ce9-8bdb-9e6e033c37f9,Kyle Barrett,2023-08-01,40.35,United Kingdom
